Model,Attack,Accuracy,Precision,Recall,F1,Macro F1,Micro F1,ROC-AUC,Log-loss,Classification Margin,Robustness Score,Attack Success Rate,Margin Drop,Perturbation Rate,Perturbation Budget,Accuracy Drop
GCN,Baseline,0.821,0.8044965287013766,0.8164374736886432,0.8069762378934343,0.8069762378934343,0.821,0.969767490029393,0.921469030288048,0.30709144473075867,1.0,0.0,0.0,0.0,0.0,0.0
GCN,Evasion: Gradient (FGSM-like),0.003,0.0019404032731083953,0.0034874042544224713,0.002306813017311427,0.002306813017311427,0.003,0.046365124715092076,33.444808209659705,0.9273691177368164,0.0036540803897685548,0.9963459196102314,-0.6202776432037354,0.5675948135374136,0.1,0.818
GCN,Defense: Feature Smoothing (alpha=0.3),0.004,0.0022870321065596067,0.005057262967138327,0.0028679361652918047,0.0028679361652918047,0.004,0.05370953225557492,33.08850752094609,0.9282193779945374,0.00487210718635811,0.9951278928136419,-0.6211279630661011,0.0,0.7,0.817
GCN,Defense: Pruning + Retrain,0.914,0.9098108547440764,0.9389702880095674,0.9209475829360585,0.9209475829360585,0.914,0.9943931611590813,0.3068551800408168,0.808983325958252,1.113276492082826,-0.11327649208282593,-0.5018918514251709,0.0004977319785568881,0.5,-0.09300000000000008
GCN,"Defense: Ontology (adj+feature, lambda=0.2)",0.088,0.01381475667189953,0.13814756671899528,0.02511773940345369,0.02511773940345369,0.088,0.38877852159065335,9.281819804579019,0.46694859862327576,0.1071863580998782,0.8928136419001218,-0.1598571538925171,0.6624141719158072,0.3,0.733
GCN,Defense: Pruning+Ontology + Retrain,0.943,0.9341732433027572,0.9603026500566075,0.9454799556402419,0.9454799556402419,0.943,0.9942571574916513,0.26946400926145725,0.7912368178367615,1.148599269183922,-0.14859926918392205,-0.4841453731060028,0.005688053777962992,0.6,-0.122
GAT,Baseline,0.805,0.7805845535936417,0.8050990630605984,0.7915324514197838,0.7915324514197838,0.805,0.9667047423240094,0.7616916771529941,0.46038392186164856,1.0,0.0,0.0,0.0,0.0,0.0
GAT,Evasion: Gradient (FGSM-like),0.043,0.011712307731854851,0.06628175276305669,0.019257526255578344,0.019257526255578344,0.043,0.08650965033809756,31.746510364090405,0.9063822031021118,0.05341614906832304,0.946583850931677,-0.44599828124046326,0.5675948135374136,0.1,0.762
GAT,Defense: Feature Smoothing + Retrain,0.899,0.8930205113073105,0.9183147078568725,0.9020146504023175,0.9020146504023175,0.899,0.9899419207107467,0.3950872189314966,0.9201861619949341,1.1167701863354036,-0.11677018633540369,-0.4598022401332855,0.0,0.7,-0.09399999999999997
GAT,Defense: Pruning (top-k=10),0.045,0.01178045696434488,0.07003255613035095,0.019845505363894567,0.019845505363894567,0.045,0.08233539680083478,31.81265045490474,0.90328049659729,0.05590062111801242,0.9440993788819876,-0.4428965747356415,0.0003815490619184036,0.5,0.76
GAT,"Defense: Ontology (adj+feature, lambda=0.05)",0.091,0.013,0.14285714285714285,0.02383134738771769,0.02383134738771769,0.091,0.43169767254966435,28.987891098022462,1.0,0.11304347826086947,0.8869565217391305,-0.5396161079406738,0.6624141719158072,0.3,0.7140000000000001
GAT,Defense: Pruning+Ontology + Retrain,0.922,0.9102996981458015,0.9400319452904363,0.9223677949641255,0.9223677949641255,0.922,0.9935686116363763,0.2937492848689435,0.8213940262794495,1.1453416149068323,-0.14534161490683228,-0.3610101044178009,0.005688053777962992,0.6,-0.11699999999999999
