Attack,Accuracy,Precision,Recall,F1,Macro F1,Micro F1,ROC-AUC,Log-loss,Classification Margin,Robustness Score,Attack Success Rate,Margin Drop,Perturbation Rate,Perturbation Budget,Accuracy Drop
Baseline,0.20689655172413793,0.21695378556280812,0.23906926406926413,0.1819649598970023,0.1819649598970023,0.20689655172413793,0.539501178769043,3.495935643508262,0.18602120876312256,1.0,0.0,0.0,0.0,0.0,0.0
Poisoning: Random Structure,0.15517241379310345,0.16507936507936508,0.15227272727272728,0.08352339484414957,0.08352339484414957,0.15517241379310345,0.44794461626958615,4.646135999102631,0.36227181553840637,0.75,0.24999999999999997,-0.1762506067752838,0.007134363852556481,300.0,0.051724137931034475
Poisoning: Nettack,0.08620689655172414,0.02636968766001024,0.08571428571428573,0.04029692470837752,0.04029692470837752,0.08620689655172414,0.40708204431056705,4.198673873821536,0.19827382266521454,0.41666666666666674,0.5833333333333333,-0.01225261390209198,0.0005707491082045184,20.0,0.12068965517241378
Poisoning: Meta Attack,0.10344827586206896,0.09230055658627087,0.12965367965367966,0.09331826297770571,0.09331826297770571,0.10344827586206896,0.4753590401302164,5.121630770514719,0.396698534488678,0.5,0.5,-0.21067732572555542,0.0,300.0,0.10344827586206896
Evasion: Edge Flip,0.15517241379310345,0.10356506238859182,0.18095238095238095,0.12219802281914083,0.12219802281914083,0.15517241379310345,0.4978442917312849,3.6846243960963547,0.19108694791793823,0.75,0.24999999999999997,-0.005065739154815674,0.0009512485136741974,20.0,0.051724137931034475
Evasion: Feature,0.1724137931034483,0.19401927437641722,0.2010822510822511,0.16144801682174528,0.16144801682174528,0.1724137931034483,0.5301336862321406,2.906093910671457,0.15332934260368347,0.8333333333333334,0.1666666666666666,0.03269186615943909,0.2,8.0,0.03448275862068964
Evasion: Gradient (FGSM-like),0.15517241379310345,0.08388355342136855,0.18571428571428572,0.09624750801221389,0.09624750801221389,0.15517241379310345,0.503226922782824,2.4650554969835183,0.08212351053953171,0.75,0.24999999999999997,0.10389769822359085,0.9905455157975792,0.05,0.051724137931034475
Defense: Feature Smoothing (alpha=0.3),0.1206896551724138,0.08571428571428572,0.14285714285714285,0.10408163265306124,0.10408163265306124,0.1206896551724138,0.5022001977682428,2.327413589454777,0.0944448783993721,0.5833333333333334,0.41666666666666663,0.09157633036375046,0.0,0.7,
Defense: Feature Smoothing (alpha=0.5),0.15517241379310345,0.268037518037518,0.16536796536796539,0.1498885070313642,0.1498885070313642,0.15517241379310345,0.5045496436187926,2.426255394825436,0.0924270823597908,0.75,0.24999999999999997,0.09359412640333176,0.0,0.7,
Defense: Feature Smoothing (alpha=0.7),0.13793103448275862,0.16836734693877548,0.15465367965367968,0.13460947654496042,0.13460947654496042,0.13793103448275862,0.5060253357307755,2.5602068265700577,0.10675118118524551,0.6666666666666667,0.3333333333333333,0.07927002757787704,0.0,0.7,
Defense: Feature Smoothing (alpha=0.85),0.13793103448275862,0.16659253444967728,0.15465367965367965,0.1312389571213101,0.1312389571213101,0.13793103448275862,0.5235405406516406,2.7191676809627445,0.12759695947170258,0.6666666666666667,0.3333333333333333,0.05842424929141998,0.0,0.7,
"Defense: Ontology (feature-only, lambda=0.05)",0.15517241379310345,0.08922305764411027,0.18571428571428572,0.09792399718508092,0.09792399718508092,0.15517241379310345,0.5264845443262746,2.4448224681794275,0.08132410049438477,0.75,0.24999999999999997,0.10469710826873779,0.0,0.3,
"Defense: Ontology (feature-only, lambda=0.1)",0.15517241379310345,0.08922305764411027,0.18571428571428572,0.09792399718508092,0.09792399718508092,0.15517241379310345,0.524258884932811,2.443527102396004,0.08140024542808533,0.75,0.24999999999999997,0.10462096333503723,0.0,0.3,
"Defense: Ontology (feature-only, lambda=0.2)",0.15517241379310345,0.08242033655567489,0.18571428571428572,0.09582315684894648,0.09582315684894648,0.15517241379310345,0.5256611933162515,2.4406021291342723,0.08148960769176483,0.75,0.24999999999999997,0.10453160107135773,0.0,0.3,
Defense: Ontology + Retrain,0.10344827586206896,0.16854256854256852,0.1380952380952381,0.08363345338135253,0.08363345338135253,0.10344827586206896,0.4548490342789821,1.9901147367669945,0.023287607356905937,0.5,0.5,0.16273359954357147,0.0,0.3,
Defense: Feature Smoothing + Retrain,0.10344827586206896,0.1878787878787879,0.10108225108225109,0.08168044545753525,0.08168044545753525,0.10344827586206896,0.4606712640363784,2.220896632134575,0.03719446435570717,0.5,0.5,0.1488267481327057,0.0,0.7,
