Attack,Accuracy,Precision,Recall,F1,Macro F1,Micro F1,ROC-AUC,Log-loss,Classification Margin,Robustness Score,Attack Success Rate,Margin Drop,Perturbation Rate,Perturbation Budget,Accuracy Drop
Baseline,0.15517241379310345,0.15289115646258503,0.1461038961038961,0.14503638776084596,0.14503638776084596,0.15517241379310345,0.5029464575635791,6.785515309760266,0.7334282994270325,1.0,0.0,0.0,0.0,0.0,0.0
Poisoning: Random Structure,0.13793103448275862,0.1392857142857143,0.1510822510822511,0.13584258264709392,0.13584258264709392,0.13793103448275862,0.47652763869343556,4.327210895327915,0.45582515001296997,0.8888888888888888,0.11111111111111115,0.2776031494140625,0.02140309155766944,900.0,0.017241379310344834
Poisoning: Nettack,0.08620689655172414,0.09087301587301587,0.06883116883116883,0.0727299016772701,0.0727299016772701,0.08620689655172414,0.4931854386079597,6.957024618243489,0.7291560173034668,0.5555555555555556,0.4444444444444444,0.004272282123565674,0.0005707491082045184,20.0,0.06896551724137931
Poisoning: Meta Attack,0.13793103448275862,0.15476190476190474,0.1331168831168831,0.13342926914355485,0.13342926914355485,0.13793103448275862,0.5083272471540236,7.146849320118053,0.7760510444641113,0.8888888888888888,0.11111111111111115,-0.04262274503707886,0.0,300.0,0.017241379310344834
Evasion: Edge Flip,0.13793103448275862,0.1304988662131519,0.1331168831168831,0.12751955646692487,0.12751955646692487,0.13793103448275862,0.48780061033573674,6.700391974963631,0.7012007236480713,0.8888888888888888,0.11111111111111115,0.03222757577896118,0.0009512485136741974,20.0,0.017241379310344834
Evasion: Feature,0.13793103448275862,0.12852504638218923,0.1331168831168831,0.1275065491783758,0.1275065491783758,0.13793103448275862,0.5161776324170945,4.979364874851882,0.5542778968811035,0.8888888888888888,0.11111111111111115,0.17915040254592896,0.2,8.0,0.017241379310344834
Evasion: Gradient (FGSM-like),0.13793103448275862,0.11667697381983097,0.14155844155844158,0.10743607787942763,0.10743607787942763,0.13793103448275862,0.43707875508005983,4.665300773607287,0.3890886902809143,0.8888888888888888,0.11111111111111115,0.34433960914611816,0.9905455157975792,0.05,0.017241379310344834
Defense: Feature Smoothing (alpha=0.3),0.15517241379310345,0.15624613481756341,0.15681818181818183,0.14523809523809522,0.14523809523809522,0.15517241379310345,0.5043906431451595,5.174128244454954,0.5724501013755798,1.0,0.0,0.16097819805145264,0.0,0.7,
Defense: Feature Smoothing (alpha=0.5),0.13793103448275862,0.123989898989899,0.14253246753246754,0.12620521892967715,0.12620521892967715,0.13793103448275862,0.5112436255702013,5.023099286008074,0.5442337393760681,0.8888888888888888,0.11111111111111115,0.18919456005096436,0.0,0.7,
Defense: Feature Smoothing (alpha=0.7),0.15517241379310345,0.15328798185941042,0.1461038961038961,0.14302721088435374,0.14302721088435374,0.15517241379310345,0.5092705997668864,4.948310382134113,0.5257922410964966,1.0,0.0,0.2076360583305359,0.0,0.7,
