Attack,Accuracy,Precision,Recall,F1,Macro F1,Micro F1,ROC-AUC,Log-loss,Classification Margin,Robustness Score,Attack Success Rate,Margin Drop,Perturbation Rate,Perturbation Budget,Accuracy Drop
Baseline,0.802,0.7832106243615694,0.8067225403122421,0.792272229302932,0.792272229302932,0.802,0.9605157192650059,0.9415291665725092,0.3090282380580902,1.0,0.0,0.0,0.0,0.0,0.0
Poisoning: Random Structure,0.482,0.47564979775186267,0.5164202953417195,0.47748071012601756,0.47748071012601756,0.482,0.8083045999892622,1.5563346027673814,0.4086852967739105,0.600997506234414,0.3990024937655861,-0.09965705871582031,0.00040909477689607247,1500.0,0.32000000000000006
Poisoning: Nettack,0.795,0.7731960415471054,0.8001688220165686,0.7827845247465568,0.7827845247465568,0.795,0.9583279202766599,0.9571951617834664,0.3214302361011505,0.9912718204488778,0.008728179551122203,-0.012401998043060303,1.745471048089909e-05,64.0,0.007000000000000006
Poisoning: Meta Attack,0.807,0.785974589416449,0.8137586808269345,0.7959498674900691,0.7959498674900691,0.807,0.9664139573085208,0.8998958158201152,0.3393242359161377,1.0062344139650874,-0.006234413965087287,-0.030295997858047485,5.454597025280966e-07,2000.0,-0.0050000000000000044
Evasion: Edge Flip,0.791,0.7741853939934787,0.7954862793279639,0.7820214917406002,0.7820214917406002,0.791,0.9568573046386043,0.982218523430718,0.28738176822662354,0.986284289276808,0.013715710723192031,0.021646469831466675,7.254614043623685e-05,80.0,0.01100000000000001
Evasion: Feature,0.747,0.7315402168243494,0.7456491168276023,0.7334175012172899,0.7334175012172899,0.747,0.9323139214845533,1.0234540208441407,0.30375707149505615,0.9314214463840398,0.06857855361596016,0.005271166563034058,0.0012462106023763556,12.0,0.05500000000000005
Evasion: Gradient (FGSM-like),0.004,0.00303951367781155,0.0017913121361397223,0.0022541561003099468,0.0022541561003099468,0.004,0.05334211654180503,15.734902331780692,0.8957828879356384,0.004987531172069848,0.9950124688279302,-0.5867546796798706,0.5454238095287179,0.08,0.798
Defense: Feature Smoothing (alpha=0.3),0.75,0.735153842815967,0.7547146083127396,0.7398998260573484,0.7398998260573484,0.75,0.9429303357916422,0.9889401416216751,0.305174857378006,0.9351620947630922,0.06483790523690779,0.0038533806800842285,0.0,0.7,
Defense: Feature Smoothing (alpha=0.5),0.747,0.7339424932870632,0.7533711242106348,0.738315265928804,0.738315265928804,0.747,0.940364138054374,0.996174551638902,0.30497294664382935,0.9314214463840398,0.06857855361596016,0.004055291414260864,0.0,0.7,
Defense: Feature Smoothing (alpha=0.7),0.746,0.7323909285242914,0.7477728893174492,0.7345679553632307,0.7345679553632307,0.746,0.9374743213000594,1.005634267659156,0.30479273200035095,0.9301745635910224,0.06982543640897762,0.004235506057739258,0.0,0.7,
Defense: Feature Smoothing (alpha=0.85),0.745,0.7325046261620773,0.7447467643577389,0.7332669690589311,0.7332669690589311,0.745,0.9350976025379847,1.0139331988375933,0.3043552339076996,0.9289276807980049,0.07107231920199507,0.004673004150390625,0.0,0.7,
"Defense: Ontology (feature-only, lambda=0.05)",0.749,0.7353681159019184,0.7466180507398859,0.7358486538094449,0.7358486538094449,0.749,0.9342132258195708,1.0086953935433998,0.3092229664325714,0.9339152119700748,0.06608478802992525,-0.00019472837448120117,0.0,0.3,
"Defense: Ontology (feature-only, lambda=0.1)",0.757,0.7435507700047878,0.7530958094343934,0.7437851342714018,0.7437851342714018,0.757,0.9360240993652261,0.9943686178994281,0.3147023916244507,0.9438902743142145,0.05610972568578558,-0.005674153566360474,0.0,0.3,
"Defense: Ontology (feature-only, lambda=0.2)",0.76,0.7484431228385916,0.7510286996996844,0.7444248533688855,0.7444248533688855,0.76,0.939498082896895,0.9669698300765635,0.3255317807197571,0.9476309226932668,0.05236907730673321,-0.01650354266166687,0.0,0.3,
