Attack,Accuracy,Precision,Recall,F1,Macro F1,Micro F1,ROC-AUC,Log-loss,Classification Margin,Robustness Score,Attack Success Rate,Margin Drop,Perturbation Rate,Perturbation Budget,Accuracy Drop
Baseline,0.818,0.8041635535871449,0.8342528618586176,0.8130757538375624,0.8130757538375624,0.818,0.9722762588457796,0.8964878983641824,0.3317720293998718,1.0,0.0,0.0,0.0,0.0,0.0
Poisoning: Random Structure,0.505,0.5331793354219793,0.5401632127089414,0.5119681379534243,0.5119681379534243,0.505,0.8264841190771346,1.4767722277778916,0.41370823979377747,0.6173594132029341,0.382640586797066,-0.08193621039390564,0.00040909477689607247,1500.0,0.31299999999999994
Poisoning: Nettack,0.811,0.7937431553109301,0.8271313230409552,0.8051137719953021,0.8051137719953021,0.811,0.9663507551787959,0.9163542904984275,0.3478029668331146,0.9914425427872862,0.00855745721271381,-0.016030937433242798,3.490942096179818e-05,128.0,0.006999999999999895
Poisoning: Meta Attack,0.815,0.7927622045908896,0.8276123290129814,0.8066628190517994,0.8066628190517994,0.815,0.969134289991659,0.9360001267595074,0.3080657422542572,0.9963325183374083,0.0036674816625916905,0.023706287145614624,2.1818388101123864e-06,4000.0,0.0030000000000000027
Evasion: Edge Flip,0.806,0.7900252823562895,0.8214151237548457,0.7992779918233592,0.7992779918233592,0.806,0.9691898799113259,0.9574261614073706,0.2965794801712036,0.9853300733496334,0.014669926650366627,0.03519254922866821,9.981912556264168e-05,120.0,0.0119999999999999
Evasion: Feature,0.755,0.735150696088423,0.7729074679411235,0.7456910707994586,0.7456910707994586,0.755,0.9397190660472737,1.0118687917123403,0.3587641716003418,0.9229828850855746,0.07701711491442537,-0.02699214220046997,0.0012462106023763556,12.0,0.06299999999999994
Evasion: Gradient (FGSM-like),0.002,0.0012052341597796144,0.0025286314835691634,0.001508447499636927,0.001508447499636927,0.002,0.025493141774114103,15.798150612492043,0.8283268213272095,0.0024449877750610804,0.9975550122249389,-0.49655479192733765,0.5454238095287179,0.08,0.816
Defense: Feature Smoothing (alpha=0.3),0.771,0.7627829209097996,0.7868996590580037,0.7666962150350428,0.7666962150350428,0.771,0.9548151027743907,0.9612785961332944,0.3280703127384186,0.9425427872860637,0.05745721271393635,0.003701716661453247,0.0,0.7,
Defense: Feature Smoothing (alpha=0.5),0.77,0.7597333167122048,0.7875850727822106,0.7654309220706021,0.7654309220706021,0.77,0.9511330578160049,0.9688733748947197,0.3337271213531494,0.9413202933985331,0.058679706601466916,-0.001955091953277588,0.0,0.7,
Defense: Feature Smoothing (alpha=0.7),0.764,0.7503427954119941,0.7813564117686742,0.7577003103242844,0.7577003103242844,0.764,0.9474516953908808,0.9812310525844393,0.3425710201263428,0.9339853300733497,0.0660146699266503,-0.010798990726470947,0.0,0.7,
Defense: Feature Smoothing (alpha=0.85),0.762,0.745834170000002,0.7804607557006044,0.7549669189159497,0.7549669189159497,0.762,0.9439341061167327,0.99466266170028,0.3503672480583191,0.9315403422982886,0.06845965770171142,-0.018595218658447266,0.0,0.7,
"Defense: Ontology (feature-only, lambda=0.05)",0.76,0.7396818521173144,0.7752086748759511,0.7493924685937745,0.7493924685937745,0.76,0.9410891421009495,0.9991205108596242,0.3639838695526123,0.9290953545232274,0.07090464547677255,-0.03221184015274048,0.0,0.3,
"Defense: Ontology (feature-only, lambda=0.1)",0.762,0.7423050456031511,0.7770434654619971,0.7517818863588107,0.7517818863588107,0.762,0.9424183554424322,0.9866150081013707,0.36922693252563477,0.9315403422982886,0.06845965770171142,-0.03745490312576294,0.0,0.3,
"Defense: Ontology (feature-only, lambda=0.2)",0.766,0.7473256531434396,0.780607881341684,0.7566901281132241,0.7566901281132241,0.766,0.9449797204184314,0.9623541084620021,0.37957504391670227,0.9364303178484108,0.06356968215158916,-0.047803014516830444,0.0,0.3,
