The most impactful Attack is : Evasion: Gradient (FGSM-like) (accuracy drop=0.8180)

FINAL TABLE (PRE-DEFENSE)
Model,Attack,Accuracy,Macro F1,ROC-AUC,Accuracy Drop,Perturbation Budget
GCN,Baseline,0.821,0.8069762378934343,0.969767490029393,0.0,0.0
GCN,Poisoning: Random Structure,0.53,0.5270550473793333,0.826387950537556,0.2909999999999999,800.0
GCN,Poisoning: Nettack,0.796,0.7877737518580977,0.9644238898133359,0.02499999999999991,96.0
GCN,Poisoning: Meta Attack,0.798,0.788762224672855,0.9672685128982345,0.02299999999999991,800.0
GCN,Evasion: Edge Flip,0.806,0.7917437580576241,0.9651936447599583,0.014999999999999902,120.0
GCN,Evasion: Feature,0.754,0.7352500798695265,0.939059929879083,0.06699999999999995,18.0
GCN,Evasion: Gradient (FGSM-like),0.003,0.002306813017311427,0.046365124715092076,0.818,0.1
GCN,Evasion: Adaptive Semantic,0.586,0.5531405063436557,0.8136403195515334,0.235,8.0
GAT,Baseline,0.805,0.7915324514197838,0.9667047423240094,0.0,0.0
GAT,Poisoning: Random Structure,0.558,0.5665582093521018,0.8342540918587796,0.247,800.0
GAT,Poisoning: Nettack,0.777,0.7754350759852809,0.9635055706025878,0.028000000000000025,48.0
GAT,Poisoning: Meta Attack,0.798,0.7945205126721889,0.9624402431264328,0.007000000000000006,800.0
GAT,Evasion: Edge Flip,0.784,0.7696902418567584,0.958465462072108,0.02100000000000002,120.0
GAT,Evasion: Feature,0.58,0.5638133281163856,0.787117507709893,0.2250000000000001,18.0
GAT,Evasion: Gradient (FGSM-like),0.043,0.019257526255578344,0.08650754106516749,0.762,0.1
GAT,Evasion: Adaptive Semantic,0.535,0.5042607974688675,0.7055788673153559,0.27,8.0


FINAL TABLE (POST-DEFENSE)
Model,Attack,Accuracy,Macro F1,ROC-AUC,Accuracy Drop,Perturbation Budget
GCN,Baseline,0.821,0.8069762378934343,0.969767490029393,0.0,0.0
GCN,Evasion: Gradient (FGSM-like),0.003,0.002306813017311427,0.046365124715092076,0.818,0.1
GCN,Defense: Smoothing (alpha=0.3),0.004,0.0028679361652918047,0.05370953225557492,0.817,0.7
GCN,Defense: Pruning (top-k=10),0.002,0.001747487986020096,0.03550002268462344,0.819,0.5
GCN,Defense: Ontology: Full + Retrain,0.852,0.8606992981015603,0.98568707949535,-0.031000000000000028,0.3
GCN,Defense: Full Ontology + Pruning (k=15) + Retrain,0.895,0.9016502837154915,0.9896864282620069,-0.07400000000000007,0.5
GAT,Baseline,0.805,0.7915324514197838,0.9667047423240094,0.0,0.0
GAT,Evasion: Gradient (FGSM-like),0.043,0.019257526255578344,0.08650754106516749,0.762,0.1
GAT,Defense: Smoothing (alpha=0.85),0.04,0.017602096870389557,0.08407498414493585,0.765,0.7
GAT,Defense: Pruning (top-k=10),0.045,0.019845505363894567,0.08233621077021828,0.76,0.5
GAT,Defense: Ontology: Full + Retrain,0.812,0.8206794880543095,0.9793580895714958,-0.007000000000000006,0.3
GAT,Defense: Full Ontology + Pruning (k=15) + Retrain,0.84,0.8440283980958088,0.9822787742044152,-0.03499999999999992,0.5

